model,language,dimension,wins_A,wins_B,ties,mean_A,mean_B,count
codegemma,portuguese,completeness,136,148,22,4.245098039215686,4.326797385620915,306
codegemma,portuguese,clarity,93,208,5,3.947712418300654,4.4640522875816995,306
codegemma,portuguese,terminology,120,139,47,4.3431372549019605,4.434640522875817,306
codegemma,portuguese,brevity,64,228,14,3.5326797385620914,4.183006535947713,306
codegemma,portuguese,overall,116,162,28,4.166666666666667,4.330065359477124,306
codegemma,arabic,correctness,19,285,2,2.9215686274509802,4.300653594771242,306
codegemma,arabic,completeness,17,283,6,3.042483660130719,4.42483660130719,306
codegemma,arabic,clarity,14,292,0,2.454248366013072,4.3202614379084965,306
codegemma,arabic,terminology,16,287,3,2.9934640522875817,4.431372549019608,306
codegemma,arabic,brevity,55,237,14,2.8333333333333335,3.8333333333333335,306
codegemma,arabic,overall,15,287,4,2.820261437908497,4.323529411764706,306
codegemma,hindi,correctness,20,284,2,3.0,4.473856209150327,306
codegemma,hindi,completeness,23,272,11,3.0915032679738563,4.522875816993464,306
codegemma,hindi,clarity,9,297,0,2.5,4.4640522875816995,306
codegemma,hindi,terminology,20,284,2,3.1666666666666665,4.57516339869281,306
codegemma,hindi,brevity,34,261,11,2.5915032679738563,4.026143790849673,306
codegemma,hindi,overall,15,284,7,2.8758169934640523,4.470588235294118,306
deepseek,chinese,correctness,104,132,70,4.3431372549019605,4.431372549019608,306
deepseek,chinese,completeness,117,138,51,4.281045751633987,4.359477124183006,306
deepseek,chinese,clarity,88,202,16,3.9836601307189543,4.428104575163399,306
deepseek,chinese,terminology,93,137,76,4.326797385620915,4.4869281045751634,306
deepseek,chinese,brevity,33,262,11,3.411764705882353,4.218954248366013,306
deepseek,chinese,overall,94,178,34,4.196078431372549,4.392156862745098,306
deepseek,french,correctness,56,226,24,3.7908496732026142,4.382352941176471,306
deepseek,french,completeness,59,224,23,3.7222222222222223,4.372549019607843,306
deepseek,french,clarity,46,247,13,3.34640522875817,4.330065359477124,306
deepseek,french,terminology,43,223,40,3.872549019607843,4.5130718954248366,306
deepseek,french,brevity,73,217,16,3.180327868852459,3.8098360655737706,305
deepseek,french,overall,57,234,15,3.715686274509804,4.362745098039215,306
deepseek,spanish,correctness,82,211,13,3.823529411764706,4.330065359477124,306
deepseek,spanish,completeness,81,209,16,3.810457516339869,4.349673202614379,306
deepseek,spanish,clarity,59,242,5,3.392156862745098,4.38562091503268,306
deepseek,spanish,terminology,55,213,38,3.823529411764706,4.467320261437909,306
deepseek,spanish,brevity,53,240,13,3.107843137254902,3.947712418300654,306
deepseek,spanish,overall,68,216,22,3.7058823529411766,4.339869281045751,306
deepseek,portuguese,correctness,74,221,11,3.9052287581699345,4.444444444444445,306
deepseek,portuguese,completeness,72,225,9,3.7973856209150325,4.42483660130719,306
deepseek,portuguese,clarity,50,248,8,3.3529411764705883,4.46078431372549,306
deepseek,portuguese,terminology,52,225,29,3.872549019607843,4.5588235294117645,306
deepseek,portuguese,brevity,75,218,13,3.2679738562091503,3.872549019607843,306
deepseek,portuguese,overall,61,226,19,3.7941176470588234,4.4411764705882355,306
deepseek,arabic,correctness,4,301,1,2.630718954248366,4.26797385620915,306
deepseek,arabic,completeness,3,300,3,2.3790849673202614,4.408496732026144,306
deepseek,arabic,clarity,4,302,0,2.4705882352941178,4.290849673202614,306
deepseek,arabic,terminology,4,299,3,2.784313725490196,4.4640522875816995,306
deepseek,arabic,brevity,115,144,47,3.310457516339869,3.4934640522875817,306
deepseek,arabic,overall,3,300,3,2.542483660130719,4.316993464052287,306
deepseek,hindi,correctness,21,274,11,3.0065359477124183,4.356209150326797,306
deepseek,hindi,completeness,21,263,22,3.183006535947712,4.450980392156863,306
deepseek,hindi,clarity,11,294,1,2.366013071895425,4.326797385620915,306
deepseek,hindi,terminology,13,276,17,2.872549019607843,4.450980392156863,306
deepseek,hindi,brevity,29,246,31,2.7973856209150325,3.843137254901961,306
deepseek,hindi,overall,13,283,10,2.869281045751634,4.375816993464053,306
qwen,chinese,correctness,124,120,62,4.5,4.480392156862745,306
qwen,chinese,completeness,127,129,50,4.411764705882353,4.467320261437909,306
qwen,chinese,clarity,110,191,5,4.189542483660131,4.483660130718954,306
qwen,chinese,terminology,119,122,65,4.483660130718954,4.503267973856209,306
qwen,chinese,brevity,84,183,39,3.758169934640523,4.143790849673203,306
qwen,chinese,overall,124,149,33,4.392156862745098,4.415032679738562,306
qwen,french,correctness,157,111,38,4.405228758169935,4.258169934640523,306
qwen,french,completeness,149,134,23,4.290849673202614,4.287581699346405,306
qwen,french,clarity,138,167,1,4.009803921568627,4.133986928104576,306
qwen,french,terminology,148,113,45,4.444444444444445,4.356209150326797,306
qwen,french,brevity,157,133,16,3.5980392156862746,3.5751633986928106,306
qwen,french,overall,132,126,48,4.140522875816994,4.117647058823529,306
qwen,spanish,correctness,156,101,49,4.5359477124183005,4.3431372549019605,306
qwen,spanish,completeness,166,114,26,4.450980392156863,4.316993464052287,306
qwen,spanish,clarity,126,176,4,4.2026143790849675,4.362745098039215,306
qwen,spanish,terminology,156,102,48,4.542483660130719,4.382352941176471,306
qwen,spanish,brevity,106,185,15,3.633986928104575,3.9411764705882355,306
qwen,spanish,overall,144,118,44,4.356209150326797,4.248366013071895,306
qwen,portuguese,correctness,140,89,77,4.591503267973856,4.415032679738562,306
qwen,portuguese,completeness,153,113,40,4.467320261437909,4.366013071895424,306
qwen,portuguese,clarity,114,191,1,4.107843137254902,4.4183006535947715,306
qwen,portuguese,terminology,135,88,83,4.584967320261438,4.4411764705882355,306
qwen,portuguese,brevity,108,184,14,3.611111111111111,3.9313725490196076,306
qwen,portuguese,overall,130,122,54,4.326797385620915,4.281045751633987,306
qwen,arabic,correctness,34,261,11,3.7941176470588234,4.647058823529412,306
qwen,arabic,completeness,33,264,9,3.581699346405229,4.705882352941177,306
qwen,arabic,clarity,29,274,3,3.4248366013071894,4.588235294117647,306
qwen,arabic,terminology,29,263,14,3.718954248366013,4.689542483660131,306
qwen,arabic,brevity,149,137,20,3.522875816993464,3.565359477124183,306
qwen,arabic,overall,29,267,10,3.7091503267973858,4.620915032679738,306
qwen,hindi,correctness,2,303,1,2.584967320261438,4.666666666666667,306
qwen,hindi,completeness,2,303,1,2.4281045751633985,4.836601307189542,306
qwen,hindi,clarity,2,304,0,2.323529411764706,4.617647058823529,306
qwen,hindi,terminology,1,303,2,2.8398692810457518,4.8202614379084965,306
qwen,hindi,brevity,73,169,64,3.287581699346405,3.7287581699346406,306
qwen,hindi,overall,2,304,0,2.5392156862745097,4.73202614379085,306
