model,language,dimension,wins_A,wins_B,ties,wins_A_share,wins_B_share,ties_share,total_compared
deepseek,arabic,correctness,4,301,1,0.013071895424836602,0.9836601307189542,0.0032679738562091504,306
deepseek,arabic,completeness,3,300,3,0.00980392156862745,0.9803921568627451,0.00980392156862745,306
deepseek,arabic,clarity,4,302,0,0.013071895424836602,0.9869281045751634,0.0,306
deepseek,arabic,terminology,4,299,3,0.013071895424836602,0.9771241830065359,0.00980392156862745,306
deepseek,arabic,brevity,115,144,47,0.3758169934640523,0.47058823529411764,0.15359477124183007,306
deepseek,arabic,overall,3,300,3,0.00980392156862745,0.9803921568627451,0.00980392156862745,306
deepseek,chinese,correctness,104,132,70,0.33986928104575165,0.43137254901960786,0.22875816993464052,306
deepseek,chinese,completeness,117,138,51,0.38235294117647056,0.45098039215686275,0.16666666666666666,306
deepseek,chinese,clarity,88,202,16,0.2875816993464052,0.6601307189542484,0.05228758169934641,306
deepseek,chinese,terminology,93,137,76,0.30392156862745096,0.4477124183006536,0.24836601307189543,306
deepseek,chinese,brevity,33,262,11,0.10784313725490197,0.8562091503267973,0.03594771241830065,306
deepseek,chinese,overall,94,178,34,0.30718954248366015,0.5816993464052288,0.1111111111111111,306
deepseek,french,correctness,56,226,24,0.1830065359477124,0.738562091503268,0.0784313725490196,306
deepseek,french,completeness,59,224,23,0.19281045751633988,0.7320261437908496,0.07516339869281045,306
deepseek,french,clarity,46,247,13,0.1503267973856209,0.8071895424836601,0.042483660130718956,306
deepseek,french,terminology,43,223,40,0.14052287581699346,0.7287581699346405,0.13071895424836602,306
deepseek,french,brevity,73,217,16,0.238562091503268,0.7091503267973857,0.05228758169934641,306
deepseek,french,overall,57,234,15,0.18627450980392157,0.7647058823529411,0.049019607843137254,306
deepseek,hindi,correctness,21,274,11,0.06862745098039216,0.8954248366013072,0.03594771241830065,306
deepseek,hindi,completeness,21,263,22,0.06862745098039216,0.8594771241830066,0.0718954248366013,306
deepseek,hindi,clarity,11,294,1,0.03594771241830065,0.9607843137254902,0.0032679738562091504,306
deepseek,hindi,terminology,13,276,17,0.042483660130718956,0.9019607843137255,0.05555555555555555,306
deepseek,hindi,brevity,29,246,31,0.09477124183006536,0.803921568627451,0.10130718954248366,306
deepseek,hindi,overall,13,283,10,0.042483660130718956,0.9248366013071896,0.032679738562091505,306
deepseek,portuguese,correctness,74,221,11,0.24183006535947713,0.7222222222222222,0.03594771241830065,306
deepseek,portuguese,completeness,72,225,9,0.23529411764705882,0.7352941176470589,0.029411764705882353,306
deepseek,portuguese,clarity,50,248,8,0.16339869281045752,0.8104575163398693,0.026143790849673203,306
deepseek,portuguese,terminology,52,225,29,0.16993464052287582,0.7352941176470589,0.09477124183006536,306
deepseek,portuguese,brevity,75,218,13,0.24509803921568626,0.7124183006535948,0.042483660130718956,306
deepseek,portuguese,overall,61,226,19,0.19934640522875818,0.738562091503268,0.06209150326797386,306
deepseek,spanish,correctness,82,211,13,0.2679738562091503,0.6895424836601307,0.042483660130718956,306
deepseek,spanish,completeness,81,209,16,0.2647058823529412,0.6830065359477124,0.05228758169934641,306
deepseek,spanish,clarity,59,242,5,0.19281045751633988,0.7908496732026143,0.016339869281045753,306
deepseek,spanish,terminology,55,213,38,0.17973856209150327,0.696078431372549,0.12418300653594772,306
deepseek,spanish,brevity,53,240,13,0.17320261437908496,0.7843137254901961,0.042483660130718956,306
deepseek,spanish,overall,68,216,22,0.2222222222222222,0.7058823529411765,0.0718954248366013,306
gemma,arabic,correctness,57,227,22,0.18627450980392157,0.7418300653594772,0.0718954248366013,306
gemma,arabic,completeness,67,223,16,0.21895424836601307,0.7287581699346405,0.05228758169934641,306
gemma,arabic,clarity,48,256,2,0.1568627450980392,0.8366013071895425,0.006535947712418301,306
gemma,arabic,terminology,49,227,30,0.16013071895424835,0.7418300653594772,0.09803921568627451,306
gemma,arabic,brevity,93,193,20,0.30392156862745096,0.630718954248366,0.06535947712418301,306
gemma,arabic,overall,46,238,22,0.1503267973856209,0.7777777777777778,0.0718954248366013,306
gemma,chinese,correctness,120,98,88,0.39215686274509803,0.3202614379084967,0.2875816993464052,306
gemma,chinese,completeness,148,100,58,0.48366013071895425,0.32679738562091504,0.1895424836601307,306
gemma,chinese,clarity,100,191,15,0.32679738562091504,0.6241830065359477,0.049019607843137254,306
gemma,chinese,terminology,108,96,102,0.35294117647058826,0.3137254901960784,0.3333333333333333,306
gemma,chinese,brevity,30,263,13,0.09803921568627451,0.8594771241830066,0.042483660130718956,306
gemma,chinese,overall,105,143,58,0.3431372549019608,0.4673202614379085,0.1895424836601307,306
gemma,french,correctness,153,87,66,0.5,0.28431372549019607,0.21568627450980393,306
gemma,french,completeness,173,99,34,0.565359477124183,0.3235294117647059,0.1111111111111111,306
gemma,french,clarity,135,130,41,0.4411764705882353,0.42483660130718953,0.13398692810457516,306
gemma,french,terminology,140,82,84,0.45751633986928103,0.2679738562091503,0.27450980392156865,306
gemma,french,brevity,104,185,17,0.33986928104575165,0.6045751633986928,0.05555555555555555,306
gemma,french,overall,139,105,62,0.4542483660130719,0.3431372549019608,0.20261437908496732,306
gemma,hindi,correctness,77,204,25,0.25163398692810457,0.6666666666666666,0.08169934640522876,306
gemma,hindi,completeness,87,203,16,0.28431372549019607,0.6633986928104575,0.05228758169934641,306
gemma,hindi,clarity,60,240,6,0.19607843137254902,0.7843137254901961,0.0196078431372549,306
gemma,hindi,terminology,67,209,30,0.21895424836601307,0.6830065359477124,0.09803921568627451,306
gemma,hindi,brevity,63,223,20,0.20588235294117646,0.7287581699346405,0.06535947712418301,306
gemma,hindi,overall,62,215,29,0.20261437908496732,0.7026143790849673,0.09477124183006536,306
gemma,portuguese,correctness,156,85,65,0.5098039215686274,0.2777777777777778,0.21241830065359477,306
gemma,portuguese,completeness,184,89,33,0.6013071895424836,0.2908496732026144,0.10784313725490197,306
gemma,portuguese,clarity,141,156,9,0.46078431372549017,0.5098039215686274,0.029411764705882353,306
gemma,portuguese,terminology,148,84,74,0.48366013071895425,0.27450980392156865,0.24183006535947713,306
gemma,portuguese,brevity,54,234,18,0.17647058823529413,0.7647058823529411,0.058823529411764705,306
gemma,portuguese,overall,143,107,56,0.4673202614379085,0.34967320261437906,0.1830065359477124,306
gemma,spanish,correctness,153,103,50,0.5,0.3366013071895425,0.16339869281045752,306
gemma,spanish,completeness,179,102,25,0.5849673202614379,0.3333333333333333,0.08169934640522876,306
gemma,spanish,clarity,129,157,20,0.4215686274509804,0.5130718954248366,0.06535947712418301,306
gemma,spanish,terminology,134,102,70,0.43790849673202614,0.3333333333333333,0.22875816993464052,306
gemma,spanish,brevity,54,230,22,0.17647058823529413,0.7516339869281046,0.0718954248366013,306
gemma,spanish,overall,128,117,61,0.41830065359477125,0.38235294117647056,0.19934640522875818,306
qwen,arabic,correctness,34,261,11,0.1111111111111111,0.8529411764705882,0.03594771241830065,306
qwen,arabic,completeness,33,264,9,0.10784313725490197,0.8627450980392157,0.029411764705882353,306
qwen,arabic,clarity,29,274,3,0.09477124183006536,0.8954248366013072,0.00980392156862745,306
qwen,arabic,terminology,29,263,14,0.09477124183006536,0.8594771241830066,0.0457516339869281,306
qwen,arabic,brevity,149,137,20,0.4869281045751634,0.4477124183006536,0.06535947712418301,306
qwen,arabic,overall,29,267,10,0.09477124183006536,0.8725490196078431,0.032679738562091505,306
qwen,chinese,correctness,124,120,62,0.40522875816993464,0.39215686274509803,0.20261437908496732,306
qwen,chinese,completeness,127,129,50,0.4150326797385621,0.4215686274509804,0.16339869281045752,306
qwen,chinese,clarity,110,191,5,0.35947712418300654,0.6241830065359477,0.016339869281045753,306
qwen,chinese,terminology,119,122,65,0.3888888888888889,0.39869281045751637,0.21241830065359477,306
qwen,chinese,brevity,84,183,39,0.27450980392156865,0.5980392156862745,0.12745098039215685,306
qwen,chinese,overall,124,149,33,0.40522875816993464,0.4869281045751634,0.10784313725490197,306
qwen,french,correctness,157,111,38,0.5130718954248366,0.3627450980392157,0.12418300653594772,306
qwen,french,completeness,149,134,23,0.4869281045751634,0.43790849673202614,0.07516339869281045,306
qwen,french,clarity,138,167,1,0.45098039215686275,0.545751633986928,0.0032679738562091504,306
qwen,french,terminology,148,113,45,0.48366013071895425,0.369281045751634,0.14705882352941177,306
qwen,french,brevity,157,133,16,0.5130718954248366,0.434640522875817,0.05228758169934641,306
qwen,french,overall,132,126,48,0.43137254901960786,0.4117647058823529,0.1568627450980392,306
qwen,hindi,correctness,2,303,1,0.006535947712418301,0.9901960784313726,0.0032679738562091504,306
qwen,hindi,completeness,2,303,1,0.006535947712418301,0.9901960784313726,0.0032679738562091504,306
qwen,hindi,clarity,2,304,0,0.006535947712418301,0.9934640522875817,0.0,306
qwen,hindi,terminology,1,303,2,0.0032679738562091504,0.9901960784313726,0.006535947712418301,306
qwen,hindi,brevity,73,169,64,0.238562091503268,0.5522875816993464,0.20915032679738563,306
qwen,hindi,overall,2,304,0,0.006535947712418301,0.9934640522875817,0.0,306
qwen,portuguese,correctness,140,89,77,0.45751633986928103,0.2908496732026144,0.25163398692810457,306
qwen,portuguese,completeness,153,113,40,0.5,0.369281045751634,0.13071895424836602,306
qwen,portuguese,clarity,114,191,1,0.37254901960784315,0.6241830065359477,0.0032679738562091504,306
qwen,portuguese,terminology,135,88,83,0.4411764705882353,0.2875816993464052,0.27124183006535946,306
qwen,portuguese,brevity,108,184,14,0.35294117647058826,0.6013071895424836,0.0457516339869281,306
qwen,portuguese,overall,130,122,54,0.42483660130718953,0.39869281045751637,0.17647058823529413,306
qwen,spanish,correctness,156,101,49,0.5098039215686274,0.3300653594771242,0.16013071895424835,306
qwen,spanish,completeness,166,114,26,0.5424836601307189,0.37254901960784315,0.08496732026143791,306
qwen,spanish,clarity,126,176,4,0.4117647058823529,0.5751633986928104,0.013071895424836602,306
qwen,spanish,terminology,156,102,48,0.5098039215686274,0.3333333333333333,0.1568627450980392,306
qwen,spanish,brevity,106,185,15,0.3464052287581699,0.6045751633986928,0.049019607843137254,306
qwen,spanish,overall,144,118,44,0.47058823529411764,0.38562091503267976,0.1437908496732026,306
